# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 24 09:41:31 2022
#
# User preference: *
#
# COLUMN k2_name:        K2 Name
# COLUMN pl_name:        Default Name
#
k2_name,pl_name
K2-1 b,WASP-28 b
K2-10 b,K2-10 b
K2-100 b,K2-100 b
K2-101 b,K2-101 b
K2-102 b,K2-102 b
K2-103 b,EPIC 211822797 b
K2-104 b,K2-104 b
K2-105 b,K2-105 b
K2-106 b,EPIC 220674823 b
K2-106 c,EPIC 220674823 c
K2-107 b,K2-107 b
K2-108 b,K2-108 b
K2-109 b,HD 106315 b
K2-109 c,HD 106315 c
K2-11 b,K2-11 b
K2-110 b,K2-110 b
K2-111 b,K2-111 b
K2-111 c,K2-111 c
K2-112 b,TRAPPIST-1 b
K2-112 c,TRAPPIST-1 c
K2-112 d,TRAPPIST-1 d
K2-112 e,TRAPPIST-1 e
K2-112 f,TRAPPIST-1 f
K2-112 g,TRAPPIST-1 g
K2-112 h,TRAPPIST-1 h
K2-113 b,K2-113 b
K2-114 b,K2-114 b
K2-115 b,K2-115 b
K2-116 b,K2-116 b
K2-117 b,K2-117 b
K2-117 c,K2-117 c
K2-118 b,K2-118 b
K2-119 b,K2-119 b
K2-12 b,K2-12 b
K2-120 b,K2-120 b
K2-121 b,K2-121 b
K2-122 b,K2-122 b
K2-123 b,K2-123 b
K2-124 b,K2-124 b
K2-125 b,K2-125 b
K2-126 b,K2-126 b
K2-127 b,K2-127 b
K2-128 b,K2-128 b
K2-129 b,K2-129 b
K2-13 b,K2-13 b
K2-130 b,K2-130 b
K2-131 b,K2-131 b
K2-132 b,K2-132 b
K2-133 b,K2-133 b
K2-133 c,K2-133 c
K2-133 d,K2-133 d
K2-133 e,K2-133 e
K2-134 b,WASP-151 b
K2-135 b,GJ 9827 b
K2-135 c,GJ 9827 c
K2-135 d,GJ 9827 d
K2-136 b,K2-136 b
K2-136 c,K2-136 c
K2-136 d,K2-136 d
K2-137 b,K2-137 b
K2-138 b,K2-138 b
K2-138 c,K2-138 c
K2-138 d,K2-138 d
K2-138 e,K2-138 e
K2-138 f,K2-138 f
K2-138 g,K2-138 g
K2-139 b,K2-139 b
K2-14 b,K2-14 b
